Date,Sales
2015-10-09,389.97
2015-10-10,362.136
2015-10-11,957.5775
2015-10-12,1735.158
2015-10-13,287.94
2015-10-15,2601.946
2015-10-18,10.11
2015-10-20,455.556
2015-10-23,1275.104
2015-10-24,801.633
2015-10-25,1126.612
2015-10-28,57.21
2015-10-30,15.488
2015-10-31,748.969
2015-11-01,1094.388
2015-11-02,4379.385
2015-11-03,1491.42
2015-11-05,207
2015-11-07,970.88
2015-11-08,5252.426
2015-11-09,1024.38
2015-11-10,29.22
2015-11-12,670.056
2015-11-13,1781.1372
2015-11-14,1190.332
2015-11-15,39.96
2015-11-16,1784.164
2015-11-17,1667.028
2015-11-19,141.96
2015-11-20,1656.7
2015-11-21,2055.7748
2015-11-22,206.962
2015-11-24,79.76
2015-11-26,692.472
2015-11-27,1315.3955
2015-11-28,625.962
2015-11-29,1408.87
2015-11-30,1115.2
2015-12-01,6600.68
2015-12-03,440.411
2015-12-04,1200.268
2015-12-05,306.53
2015-12-06,390.718
2015-12-07,363.84
2015-12-10,1536.86
2015-12-11,541.862
2015-12-12,515.428
2015-12-14,324.188
2015-12-15,262.864
2015-12-17,1245.642
2015-12-18,20.32
2015-12-19,1053.164
2015-12-20,373.426
2015-12-21,1670.126
2015-12-22,422.625
2015-12-24,1563.994
2015-12-25,1433.564
2015-12-26,326.646
2015-12-27,2477.9032
2015-12-31,14.76
2016-01-02,173.94
2016-01-03,1592.85
2016-01-07,23.076
2016-01-08,1565.88
2016-01-09,15.168
2016-01-10,104.77
2016-01-11,54.992
2016-01-14,315.776
2016-01-15,181.797
2016-01-17,322.59
2016-01-21,1167.056
2016-01-22,575.308
2016-01-23,59.99
2016-01-25,359.702
2016-01-30,1109.848
2016-02-02,92.474
2016-02-03,866.4
2016-02-04,14.368
2016-02-05,816.548
2016-02-06,132.224
2016-02-08,241.5
2016-02-14,560.991
2016-02-16,935.644
2016-02-19,44.46
2016-02-21,204.75
2016-02-27,16.192
2016-03-01,836.592
2016-03-03,1236.606
2016-03-06,305.02
2016-03-08,215.96
2016-03-09,354.9
2016-03-10,176.784
2016-03-11,351.262
2016-03-12,770.352
2016-03-13,1100.425
2016-03-14,476.736
2016-03-15,1880.462
2016-03-17,971.5
2016-03-18,189.882
2016-03-19,107.594
2016-03-20,783.61
2016-03-21,627.802
2016-03-22,167.888
2016-03-24,301.47
2016-03-27,60.16
2016-03-29,1558.091
2016-03-31,327.996
2016-04-01,1324.532
2016-04-02,1454.9
2016-04-03,71.12
2016-04-04,82.64
2016-04-07,658.746
2016-04-08,1024.208
2016-04-09,556.665
2016-04-12,1176.56
2016-04-14,1317.336
2016-04-15,1121.568
2016-04-16,9.96
2016-04-17,355.243
2016-04-18,472.252
2016-04-19,205.176
2016-04-22,1414.37
2016-04-24,1325.76
2016-04-26,434.646
2016-04-28,71.912
2016-04-30,134.496
2016-05-01,370.62
2016-05-02,781.06
2016-05-03,51.968
2016-05-05,2072.464
2016-05-06,96.312
2016-05-07,506.444
2016-05-08,211.96
2016-05-12,10.02
2016-05-14,109.576
2016-05-16,282.84
2016-05-17,195.848
2016-05-19,717.64
2016-05-20,1049.2
2016-05-22,174.286
2016-05-23,37.05
2016-05-25,24.96
2016-05-26,941.444
2016-05-27,3535.66
2016-05-28,390.272
2016-05-29,44.76
2016-05-30,3292.308
2016-05-31,223.143
2016-06-03,71.088
2016-06-04,810.541
2016-06-06,548.96
2016-06-09,815.292
2016-06-10,1335.68
2016-06-11,915.256
2016-06-12,433.396
2016-06-14,3353.729
2016-06-17,1685.43
2016-06-20,219.258
2016-06-21,353.568
2016-06-25,540.016
2016-06-26,59.88
2016-06-27,539.658
2016-06-28,121.96
2016-06-30,1266.86
2016-07-02,723.614
2016-07-04,1329.965
2016-07-07,817.278
2016-07-08,662.88
2016-07-09,573.286
2016-07-14,661.686
2016-07-15,230.28
2016-07-16,9.552
2016-07-17,37.17
2016-07-18,1539.17
2016-07-19,690.48
2016-07-21,363.92
2016-07-22,39.068
2016-07-24,253.764
2016-07-25,3495.468
2016-07-28,504.87
2016-07-31,1136.068
2016-08-01,19.312
2016-08-02,136.464
2016-08-04,109.8
2016-08-08,513.024
2016-08-12,917.2045
2016-08-13,241.96
2016-08-15,537.326
2016-08-16,161.28
2016-08-18,14.896
2016-08-21,4275.522
2016-08-22,98.328
2016-08-23,555.312
2016-08-26,3262.232
2016-08-27,244.615
2016-08-28,156.3728
2016-08-29,405.8
2016-08-30,833.784
2016-09-01,191.82
2016-09-02,1476.154
2016-09-03,642.396
2016-09-04,130.81
2016-09-05,3461.917
2016-09-06,722.352
2016-09-08,3374.9816
2016-09-09,15.008
2016-09-10,300.93
2016-09-12,1679.872
2016-09-13,1336.44
2016-09-15,1128.39
2016-09-16,395.446
2016-09-17,430.008
2016-09-18,3218.74
2016-09-19,1599.324
2016-09-20,279.36
2016-09-22,100.672
2016-09-23,1114.426
2016-09-24,931.202
2016-09-25,1624.567
2016-09-26,1627.4805
2016-09-27,956.6648
2016-09-30,523.92
2016-10-01,567.286
2016-10-03,1552.508
2016-10-04,250.94
2016-10-08,51.712
2016-10-09,502.4
2016-10-10,225.666
2016-10-13,1017.71
2016-10-14,102.592
2016-10-16,142.182
2016-10-17,241.646
2016-10-18,307.92
2016-10-20,504.922
2016-10-21,2012.76
2016-10-22,173.26
2016-10-23,16.156
2016-10-27,758.824
2016-10-28,1111.368
2016-10-29,67
2016-10-31,2265.725
2016-11-03,1554.779
2016-11-04,2007.59
2016-11-05,2964.4408
2016-11-06,563.536
2016-11-07,1662.416
2016-11-08,993.9
2016-11-10,1004.988
2016-11-11,3472.65
2016-11-12,4158.352
2016-11-13,54.08
2016-11-14,856.56
2016-11-15,630.024
2016-11-18,557.068
2016-11-19,34.288
2016-11-20,702.036
2016-11-21,514.21
2016-11-22,39.88
2016-11-23,84.816
2016-11-24,2324.632
2016-11-25,1762.962
2016-11-26,4315.22
2016-11-27,362.583
2016-11-28,530.472
2016-11-29,242.176
2016-11-30,389.97
2016-12-01,1801.265
2016-12-02,868.804
2016-12-03,2140.888
2016-12-04,113.79
2016-12-05,2239
2016-12-08,2698.454
2016-12-09,1136.834
2016-12-10,1746.468
2016-12-11,2461.796
2016-12-12,477.47
2016-12-13,1114.272
2016-12-14,611.724
2016-12-15,2231.895
2016-12-16,563.92
2016-12-17,2003.52
2016-12-18,1183.99
2016-12-19,759.89
2016-12-20,18.92
2016-12-22,919.304
2016-12-23,1002.84
2016-12-24,843.52
2016-12-25,6636.863
2016-12-26,1262.004
2016-12-27,845.488
2016-12-29,825.01
2016-12-30,170.786
2017-01-01,975.49
2017-01-02,913.43
2017-01-08,892.98
2017-01-12,37.68
2017-01-13,212.94
2017-01-14,18.96
2017-01-16,730.262
2017-01-19,919.239
2017-01-20,207.846
2017-01-21,84.98
2017-01-23,210.98
2017-01-26,62.72
2017-01-28,37.74
2017-01-29,14.91
2017-01-30,643.875
2017-02-02,296.84
2017-02-03,22.2
2017-02-06,600.754
2017-02-09,25.104
2017-02-10,203.983
2017-02-11,1110.704
2017-02-13,107.53
2017-02-16,608.25
2017-02-17,1955.5704
2017-02-19,44.67
2017-02-20,477.844
2017-02-25,428.704
2017-02-26,984.184
2017-03-02,441.96
2017-03-03,751.004
2017-03-04,103.5
2017-03-06,71.97
2017-03-10,983.976
2017-03-11,181.484
2017-03-13,89.768
2017-03-16,51.264
2017-03-18,82.524
2017-03-19,728.09
2017-03-20,2.91
2017-03-21,1828.02
2017-03-23,211.84
2017-03-24,479.61
2017-03-25,1986.52
2017-03-26,318.408
2017-03-27,2142.244
2017-03-28,48.04
2017-03-30,94.2
2017-03-31,296.1128
2017-04-01,828.966
2017-04-02,436.91
2017-04-03,25.472
2017-04-07,1112.5465
2017-04-08,637.14
2017-04-10,48.992
2017-04-13,436.704
2017-04-14,515.074
2017-04-15,196.45
2017-04-16,102.833
2017-04-17,278.664
2017-04-20,470.394
2017-04-21,1071.42
2017-04-22,272.632
2017-04-23,567.252
2017-04-25,344.981
2017-04-26,1.988
2017-04-27,359.8456
2017-04-29,1048.35
2017-04-30,309.344
2017-05-01,4051.534
2017-05-02,129.93
2017-05-03,405.918
2017-05-04,300.904
2017-05-05,89.991
2017-05-06,623.4648
2017-05-07,1962.09
2017-05-08,176.05
2017-05-09,493.85
2017-05-11,217.975
2017-05-12,328.33
2017-05-13,458.43
2017-05-14,1179.67
2017-05-15,303.544
2017-05-18,342
2017-05-19,2624.58
2017-05-20,525.252
2017-05-21,520.05
2017-05-22,181.986
2017-05-23,171.288
2017-05-25,18.84
2017-05-27,512.3
2017-05-28,799.689
2017-05-29,71.664
2017-05-30,468.2284
2017-06-01,1925.88
2017-06-03,661.504
2017-06-04,62.32
2017-06-06,4.95
2017-06-08,1497.666
2017-06-09,132.901
2017-06-10,514.165
2017-06-11,455.212
2017-06-12,1337.124
2017-06-13,761.438
2017-06-15,928.208
2017-06-16,1514.92
2017-06-17,155.25
2017-06-18,917.9235
2017-06-19,1306.705
2017-06-21,17.92
2017-06-22,487.96
2017-06-24,449.454
2017-06-25,1272.184
2017-06-26,800.002
2017-06-27,317.946
2017-06-29,1381.2932
2017-06-30,2105.661
2017-07-03,1016.678
2017-07-05,332.028
2017-07-06,361.376
2017-07-07,87.21
2017-07-08,484.1
2017-07-09,526.45
2017-07-10,18.84
2017-07-13,91.008
2017-07-14,692.45
2017-07-15,1847.529
2017-07-16,313.724
2017-07-17,1241.149
2017-07-18,1473.888
2017-07-20,539.416
2017-07-21,661.44
2017-07-22,526.344
2017-07-25,456.8
2017-07-26,362.352
2017-07-27,324.65
2017-07-29,418.63
2017-07-31,36.96
2017-08-03,307.332
2017-08-06,161.14
2017-08-07,258.934
2017-08-10,121.3
2017-08-12,1834.82
2017-08-13,455.632
2017-08-14,418.296
2017-08-17,4970.114
2017-08-18,204.38
2017-08-21,2093.584
2017-08-22,524.54
2017-08-23,2.784
2017-08-25,130.98
2017-08-26,64.96
2017-08-27,2037.74
2017-08-28,1137.75
2017-08-29,148.02
2017-08-31,569.568
2017-09-01,896.72
2017-09-02,2527.552
2017-09-03,620.631
2017-09-04,3722.982
2017-09-07,470.688
2017-09-08,1000.239
2017-09-09,482.564
2017-09-10,362.352
2017-09-11,2810.894
2017-09-12,8.36
2017-09-14,830.718
2017-09-15,2612.768
2017-09-16,22.512
2017-09-17,2335.29
2017-09-18,30.14
2017-09-19,481.804
2017-09-20,5496.174
2017-09-22,254.03
2017-09-23,804.732
2017-09-24,1427.24
2017-09-25,805.736
2017-09-26,428.376
2017-09-28,42.016
2017-09-29,553.688
2017-10-01,559.76
2017-10-02,2758.464
2017-10-03,255.208
2017-10-04,19.98
2017-10-05,935.802
2017-10-06,41.96
2017-10-07,462.43
2017-10-08,145.764
2017-10-09,1333.393
2017-10-10,239.358
2017-10-12,3123.328
2017-10-13,1514.996
2017-10-14,9.46
2017-10-15,532.96
2017-10-16,2422.558
2017-10-19,531.1622
2017-10-20,328.3
2017-10-21,1470.238
2017-10-22,1005.341
2017-10-23,1193.4
2017-10-24,517.405
2017-10-26,356.85
2017-10-27,746.241
2017-10-28,77.952
2017-10-30,1301.758
2017-11-01,2665.62
2017-11-02,1159.624
2017-11-03,2524.05
2017-11-04,523.764
2017-11-05,396.024
2017-11-06,2681.362
2017-11-07,623.322
2017-11-08,274.2
2017-11-09,883.018
2017-11-10,1482.52
2017-11-11,123.84
2017-11-12,250.304
2017-11-13,2765.6532
2017-11-14,321.568
2017-11-15,559.2
2017-11-16,289.59
2017-11-17,515.4928
2017-11-18,152.966
2017-11-19,2603.165
2017-11-20,880.862
2017-11-21,98.4
2017-11-23,186.697
2017-11-24,1734.028
2017-11-25,2639.309
2017-11-26,1375.6
2017-11-27,65.78
2017-11-28,4659.14
2017-11-29,491.888
2017-11-30,4129.728
2017-12-01,2542.292
2017-12-02,3527.504
2017-12-03,591.84
2017-12-04,992.782
2017-12-05,321.48
2017-12-07,82.38
2017-12-08,3368.265
2017-12-09,1927.233
2017-12-10,2102.264
2017-12-11,1448.529
2017-12-13,489.016
2017-12-14,1852.532
2017-12-15,22.77
2017-12-16,197.712
2017-12-17,629.26
2017-12-18,1380.681
2017-12-19,115.378
2017-12-21,15.92
2017-12-22,4086.456
2017-12-23,282.114
2017-12-24,1393.494
2017-12-25,832.454
2017-12-28,551.2568
2017-12-29,2330.718
2017-12-30,323.136
